x,y
0,-623.2813720703125
99,-640.9921875
199,-642.2183227539062
299,-642.536376953125
399,-642.3585205078125
499,-641.9876098632812
599,-641.4285888671875
699,-642.4464721679688
799,-641.89501953125
899,-642.24755859375
999,-642.5518798828125
1099,-642.5153198242188
1199,-642.0882568359375
1299,-640.4931030273438
1399,-642.4506225585938
1499,-642.5537719726562
1599,-639.6705932617188
1699,-642.5784301757812
1799,-642.548095703125
1899,-641.7381591796875
1999,-642.30810546875
2099,-642.018798828125
2199,-642.115234375
2299,-642.5682983398438
2399,-642.4318237304688
2499,-640.64453125
2599,-642.0165405273438
2699,-642.339111328125
2799,-641.7301025390625
2899,-642.45361328125
2999,-642.158935546875
3099,-642.3407592773438
3199,-642.0353393554688
3299,-642.5559692382812
3399,-642.4727783203125
3499,-641.4381103515625
3599,-642.4840087890625
3699,-641.423828125
3799,-642.095458984375
3899,-642.5574951171875
3999,-641.4669799804688
4099,-635.9580078125
4199,-642.186279296875
4299,-642.1495971679688
4399,-642.3221435546875
4499,-641.3434448242188
4599,-642.4298706054688
4699,-642.53076171875
4799,-641.299072265625
4899,-640.8275146484375
4999,-642.3677978515625
5099,-641.8196411132812
5199,-642.4714965820312
5299,-641.993896484375
5399,-642.4501953125
5499,-642.26513671875
5599,-642.5596923828125
5699,-641.5537109375
5799,-642.4073486328125
5899,-642.5711059570312
5999,-641.9701538085938
6099,-636.1722412109375
6199,-640.8325805664062
6299,-641.6199951171875
6399,-641.34814453125
6499,-639.9044189453125
6599,-642.113037109375
6699,-642.5678100585938
6799,-642.5723876953125
6899,-641.9105834960938
6999,-642.232421875
7099,-642.547607421875
7199,-642.4833984375
7299,-642.088134765625
7399,-642.3526000976562
7499,-642.2567749023438
7599,-640.40771484375
7699,-641.8289184570312
7799,-642.5079345703125
7899,-640.0560302734375
7999,-641.8533935546875
8099,-642.5519409179688
8199,-639.8245849609375
8299,-642.5672607421875
8399,-642.30322265625
8499,-642.4307250976562
8599,-641.7596435546875
8699,-642.3838500976562
8799,-639.8490600585938
8899,-641.6920776367188
8999,-642.2315673828125
9099,-642.4134521484375
9199,-641.76806640625
9299,-642.3699951171875
9399,-642.4271240234375
9499,-642.2000732421875
9599,-642.4049682617188
9699,-640.83544921875
9799,-642.2182006835938
9899,-642.2265625
9999,-642.4017333984375
10099,-642.2059326171875
10199,-641.342041015625
10299,-642.0089721679688
10399,-642.3850708007812
10499,-642.2891845703125
10599,-642.2240600585938
10699,-642.48046875
10799,-642.5496215820312
10899,-642.3987426757812
10999,-642.383544921875
11099,-641.8126220703125
11199,-642.2489624023438
11299,-642.4674072265625
11399,-641.840087890625
11499,-642.2784423828125
11599,-642.2178955078125
11699,-642.4835815429688
11799,-642.4384155273438
11899,-642.0325927734375
11999,-642.4776000976562
12099,-640.6112060546875
12199,-642.5357055664062
12299,-642.1961669921875
12399,-641.7025146484375
12499,-642.119873046875
12599,-641.6995849609375
12699,-642.4037475585938
12799,-642.5635986328125
12899,-642.390380859375
12999,-642.1742553710938
13099,-642.3903198242188
13199,-640.1368408203125
13299,-641.2208862304688
13399,-641.7782592773438
13499,-641.3952026367188
13599,-640.6098022460938
13699,-642.5281372070312
13799,-641.9072875976562
13899,-642.452392578125
13999,-640.887939453125
14099,-642.0953979492188
14199,-642.2572631835938
14299,-641.1445922851562
14399,-642.5792846679688
14499,-642.434814453125
14599,-642.4049682617188
14699,-642.08984375
14799,-642.4783325195312
14899,-642.509521484375
14999,-641.2020263671875
15099,-641.4857788085938
15199,-640.6676635742188
15299,-641.6210327148438
15399,-642.0345458984375
15499,-641.8504638671875
15599,-642.1094360351562
15699,-642.52099609375
15799,-642.5017700195312
15899,-642.5267944335938
15999,-642.5150756835938
16099,-642.462158203125
16199,-642.5196533203125
16299,-642.5784912109375
16399,-641.2362060546875
16499,-641.7401123046875
16599,-642.4862670898438
16699,-642.103271484375
16799,-642.3921508789062
16899,-639.4913330078125
16999,-642.4651489257812
17099,-642.2061767578125
17199,-642.5645141601562
17299,-642.5909423828125
17399,-642.518798828125
17499,-642.2770385742188
17599,-642.5142822265625
17699,-642.12939453125
17799,-641.0704345703125
17899,-641.2683715820312
17999,-641.83154296875
18099,-642.2513427734375
18199,-642.3849487304688
18299,-642.4344482421875
18399,-642.4343872070312
18499,-642.2977905273438
18599,-642.5032348632812
18699,-642.3919677734375
18799,-642.3336791992188
18899,-641.6956176757812
18999,-642.0584716796875
19099,-642.4180908203125
19199,-642.3884887695312
19299,-641.8004150390625
19399,-642.5602416992188
19499,-642.5776977539062
19599,-642.3765869140625
19699,-642.576416015625
19799,-641.4677124023438
19899,-640.4447631835938
19999,-642.5548095703125
20099,-641.3052368164062
20199,-642.559326171875
20299,-642.3711547851562
20399,-641.2052001953125
20499,-641.2706909179688
20599,-642.0414428710938
20699,-642.5557861328125
20799,-642.12646484375
20899,-641.6431274414062
20999,-641.8954467773438
21099,-642.571044921875
21199,-641.5403442382812
21299,-642.5684814453125
21399,-642.5392456054688
21499,-640.64697265625
21599,-641.4459838867188
21699,-642.3785400390625
21799,-642.1900634765625
21899,-642.394287109375
21999,-642.3922119140625
22099,-642.287841796875
22199,-642.1744384765625
22299,-642.56982421875
22399,-642.3092651367188
22499,-640.698974609375
22599,-641.1380004882812
22699,-642.4833984375
22799,-642.4917602539062
22899,-642.08740234375
22999,-641.5794067382812
23099,-642.1773071289062
23199,-642.4959716796875
23299,-640.7487182617188
23399,-642.1912231445312
23499,-642.255615234375
23599,-642.556396484375
23699,-642.333740234375
23799,-641.46142578125
23899,-642.18359375
23999,-642.4544677734375
24099,-641.9241333007812
24199,-641.3190307617188
24299,-639.25830078125
24399,-642.52099609375
24499,-640.3995971679688
24599,-642.3516845703125
24699,-642.3391723632812
24799,-642.572509765625
24899,-642.5784301757812
24999,-642.5303955078125
25099,-642.4963989257812
25199,-642.2120971679688
25299,-639.6810302734375
25399,-641.2185668945312
25499,-640.196044921875
25599,-642.014892578125
25699,-641.4033203125
25799,-642.0515747070312
25899,-642.5409545898438
25999,-642.5723876953125
26099,-639.186767578125
26199,-642.3933715820312
26299,-642.45751953125
26399,-642.2693481445312
26499,-642.5630493164062
26599,-642.1849365234375
26699,-642.3189697265625
26799,-641.9964599609375
26899,-642.5690307617188
26999,-641.3707885742188
27099,-640.8099975585938
27199,-642.2824096679688
27299,-641.992919921875
27399,-642.4816284179688
27499,-642.5081176757812
27599,-642.267822265625
27699,-642.3720092773438
27799,-642.499755859375
27899,-641.97705078125
27999,-642.5720825195312
28099,-642.4848022460938
28199,-642.496337890625
28299,-641.6876831054688
28399,-641.8511352539062
28499,-642.392578125
28599,-642.0003662109375
28699,-641.6273803710938
28799,-642.5045776367188
28899,-642.150390625
28999,-641.653564453125
29099,-642.5447998046875
29199,-642.5463256835938
29299,-642.446044921875
29399,-642.1123046875
29499,-642.4712524414062
29599,-642.5006713867188
29699,-641.4395751953125
29799,-642.3411865234375
29899,-639.3521118164062
29999,-642.5545043945312
