x,y
0,-663.8173217773438
99,-676.911376953125
199,-677.1287841796875
299,-677.1813354492188
399,-677.2289428710938
499,-677.159912109375
599,-677.1832885742188
699,-677.234130859375
799,-677.2394409179688
899,-677.2405395507812
999,-677.2421264648438
1099,-677.1077880859375
1199,-677.1935424804688
1299,-677.1820678710938
1399,-677.24609375
1499,-677.2073974609375
1599,-677.1338500976562
1699,-677.1559448242188
1799,-677.2105712890625
1899,-677.2222900390625
1999,-677.0673828125
2099,-676.9905395507812
2199,-677.0016479492188
2299,-677.13671875
2399,-677.2028198242188
2499,-677.213623046875
2599,-677.230224609375
2699,-677.222900390625
2799,-677.2047729492188
2899,-677.2420654296875
2999,-677.1502075195312
3099,-677.204345703125
3199,-677.08740234375
3299,-677.2188720703125
3399,-677.2373046875
3499,-677.2367553710938
3599,-677.2344970703125
3699,-677.2210693359375
3799,-677.1527099609375
3899,-677.246337890625
3999,-677.1798706054688
4099,-677.0330810546875
4199,-677.1881713867188
4299,-677.1018676757812
4399,-677.2074584960938
4499,-677.1805419921875
4599,-677.2373046875
4699,-677.2438354492188
4799,-677.1163940429688
4899,-677.2153930664062
4999,-677.2244262695312
5099,-677.1715087890625
5199,-677.218017578125
5299,-677.2304077148438
5399,-676.6133422851562
5499,-677.161865234375
5599,-677.18994140625
5699,-677.241943359375
5799,-677.2378540039062
5899,-677.2157592773438
5999,-677.1416625976562
6099,-677.059326171875
6199,-677.1642456054688
6299,-677.2448120117188
6399,-677.0233154296875
6499,-677.206787109375
6599,-677.1205444335938
6699,-677.2255249023438
6799,-677.0466918945312
6899,-677.2413940429688
6999,-676.7749633789062
7099,-677.2313232421875
7199,-677.2415771484375
7299,-677.1749877929688
7399,-677.2386474609375
7499,-677.2034301757812
7599,-677.2064208984375
7699,-677.1749267578125
7799,-677.2308349609375
7899,-677.0872802734375
7999,-677.2257080078125
8099,-677.1613159179688
8199,-677.0542602539062
8299,-677.2396240234375
8399,-677.1273803710938
8499,-677.2470703125
8599,-677.2210083007812
8699,-677.2035522460938
8799,-677.0296630859375
8899,-677.186279296875
8999,-677.218505859375
9099,-677.0733032226562
9199,-677.24560546875
9299,-677.2291870117188
9399,-677.2099609375
9499,-677.18115234375
9599,-677.2506103515625
9699,-677.2354736328125
9799,-677.2254028320312
9899,-677.0892333984375
9999,-676.866943359375
10099,-677.2260131835938
10199,-677.2119750976562
10299,-676.6978759765625
10399,-677.0648803710938
10499,-677.2241821289062
10599,-677.1893310546875
10699,-677.2418823242188
10799,-677.2411499023438
10899,-677.1669921875
10999,-677.2393188476562
11099,-677.1744384765625
11199,-677.2045288085938
11299,-676.8834228515625
11399,-677.2435302734375
11499,-677.2506713867188
11599,-677.2474975585938
11699,-677.2432861328125
11799,-677.239990234375
11899,-677.2351684570312
11999,-677.1675415039062
12099,-677.0799560546875
12199,-677.12548828125
12299,-676.8999633789062
12399,-677.0697021484375
12499,-677.2125244140625
12599,-677.2363891601562
12699,-676.9022827148438
12799,-677.236572265625
12899,-677.206787109375
12999,-677.2379150390625
13099,-677.206298828125
13199,-677.2401123046875
13299,-677.246826171875
13399,-677.242919921875
13499,-677.2075805664062
13599,-677.216064453125
13699,-677.056884765625
13799,-677.2462768554688
13899,-677.2426147460938
13999,-677.2457275390625
14099,-677.2163696289062
14199,-677.1956176757812
14299,-677.2249755859375
14399,-677.217529296875
14499,-677.0459594726562
14599,-677.2479858398438
14699,-677.1973876953125
14799,-677.2196044921875
14899,-677.2131958007812
14999,-677.2077026367188
15099,-677.0744018554688
15199,-676.9725952148438
15299,-677.1959228515625
15399,-677.2059326171875
15499,-677.2315673828125
15599,-677.1325073242188
15699,-677.1812744140625
15799,-677.2488403320312
15899,-677.1678466796875
15999,-677.1472778320312
16099,-677.2268676757812
16199,-677.2265014648438
16299,-677.2343139648438
16399,-676.8570556640625
16499,-677.2352294921875
16599,-677.2379760742188
16699,-677.1217041015625
16799,-677.2310791015625
16899,-677.059326171875
16999,-677.2200927734375
17099,-677.174560546875
17199,-677.2014770507812
17299,-677.1620483398438
17399,-677.2362670898438
17499,-676.8800659179688
17599,-677.2415771484375
17699,-677.0706787109375
17799,-677.0982055664062
17899,-677.1897583007812
17999,-677.2333984375
18099,-676.957763671875
18199,-677.2471923828125
18299,-677.2195434570312
18399,-677.2496948242188
18499,-677.017333984375
18599,-677.1930541992188
18699,-676.8999633789062
18799,-677.2412719726562
18899,-677.1814575195312
18999,-677.1123046875
19099,-677.191162109375
19199,-677.2420043945312
19299,-677.248291015625
19399,-677.1380004882812
19499,-677.2444458007812
19599,-677.18212890625
19699,-677.2432861328125
19799,-677.2503662109375
19899,-677.2424926757812
19999,-677.2398681640625
20099,-677.17333984375
20199,-677.1693115234375
20299,-677.193359375
20399,-677.2318115234375
20499,-677.2501831054688
20599,-677.13720703125
20699,-677.2254638671875
20799,-676.9861450195312
20899,-677.0069580078125
20999,-677.2404174804688
21099,-677.2498779296875
21199,-676.97021484375
21299,-677.1904907226562
21399,-677.1427001953125
21499,-677.2027587890625
21599,-677.2489013671875
21699,-677.240234375
21799,-677.2314453125
21899,-677.2459716796875
21999,-677.0755615234375
22099,-677.220947265625
22199,-677.1389770507812
22299,-677.2432861328125
22399,-677.2379760742188
22499,-677.2297973632812
22599,-677.1864624023438
22699,-677.1763305664062
22799,-677.070556640625
22899,-677.045654296875
22999,-677.1242065429688
23099,-677.2049560546875
23199,-677.109375
23299,-677.2413330078125
23399,-677.18701171875
23499,-677.2374267578125
23599,-677.2228393554688
23699,-677.2371826171875
23799,-677.239501953125
23899,-677.2318725585938
23999,-677.1795043945312
24099,-677.1678466796875
24199,-677.159912109375
24299,-676.7012939453125
24399,-677.0419921875
24499,-677.244873046875
24599,-677.2195434570312
24699,-677.2174682617188
24799,-677.107421875
24899,-677.2476806640625
24999,-677.2418823242188
25099,-677.2353515625
25199,-677.0545043945312
25299,-677.1320190429688
25399,-677.248291015625
25499,-677.2322998046875
25599,-677.1467895507812
25699,-677.0702514648438
25799,-677.2249145507812
25899,-677.1489868164062
25999,-677.1456298828125
26099,-677.1700439453125
26199,-677.1968994140625
26299,-677.09033203125
26399,-677.1133422851562
26499,-677.1626586914062
26599,-677.213134765625
26699,-677.0732421875
26799,-677.1602172851562
26899,-677.2301635742188
26999,-677.12890625
27099,-677.22900390625
27199,-677.220703125
27299,-677.0819702148438
27399,-677.245361328125
27499,-677.2477416992188
27599,-677.022216796875
27699,-677.1986694335938
27799,-677.01123046875
27899,-677.2205810546875
27999,-677.2189331054688
28099,-677.1044311523438
28199,-677.112060546875
28299,-677.243408203125
28399,-677.2272338867188
28499,-677.2411499023438
28599,-677.06201171875
28699,-677.233642578125
28799,-677.2299194335938
28899,-677.2379150390625
28999,-677.2391357421875
29099,-677.1876831054688
29199,-677.191162109375
29299,-677.2313842773438
29399,-677.13623046875
29499,-677.2156372070312
29599,-677.1749267578125
29699,-677.2371215820312
29799,-677.1882934570312
29899,-677.118408203125
29999,-677.2303466796875
