x,y
0,-755.435791015625
99,-771.269287109375
199,-772.1551513671875
299,-772.0406494140625
399,-772.1649780273438
499,-772.5173950195312
599,-771.9832763671875
699,-772.1740112304688
799,-771.7177734375
899,-772.967529296875
999,-771.6396484375
1099,-771.608154296875
1199,-772.4234008789062
1299,-773.027587890625
1399,-772.1723022460938
1499,-772.23974609375
1599,-772.6641235351562
1699,-772.94677734375
1799,-772.4595336914062
1899,-772.5817260742188
1999,-771.8472900390625
2099,-772.3101806640625
2199,-772.5775756835938
2299,-771.7943115234375
2399,-772.4696044921875
2499,-772.8680419921875
2599,-772.2997436523438
2699,-773.176025390625
2799,-772.3480834960938
2899,-772.4266357421875
2999,-772.8046875
3099,-772.9454345703125
3199,-772.5236206054688
3299,-772.6611938476562
3399,-772.429443359375
3499,-772.0850830078125
3599,-771.852294921875
3699,-772.18896484375
3799,-772.2252197265625
3899,-772.5391845703125
3999,-771.2249755859375
4099,-773.422607421875
4199,-771.6808471679688
4299,-772.8645629882812
4399,-772.7978515625
4499,-772.7578735351562
4599,-771.992431640625
4699,-772.67138671875
4799,-772.752197265625
4899,-773.0291137695312
4999,-773.5086669921875
5099,-771.6381225585938
5199,-771.5839233398438
5299,-772.3413696289062
5399,-772.5761108398438
5499,-772.6026000976562
5599,-772.0616455078125
5699,-772.36572265625
5799,-772.8707275390625
5899,-771.8165283203125
5999,-772.2589111328125
6099,-772.54345703125
6199,-772.4750366210938
6299,-772.1873779296875
6399,-772.98828125
6499,-772.2654418945312
6599,-772.761474609375
6699,-772.9591064453125
6799,-771.896484375
6899,-772.5422973632812
6999,-772.2417602539062
7099,-772.5388793945312
7199,-772.759765625
7299,-772.8712158203125
7399,-773.1177368164062
7499,-771.8706665039062
7599,-772.7888793945312
7699,-772.7235107421875
7799,-772.5924682617188
7899,-772.380615234375
7999,-772.6589965820312
8099,-772.157470703125
8199,-772.4078369140625
8299,-772.6873779296875
8399,-771.414306640625
8499,-772.185546875
8599,-772.6260375976562
8699,-772.9347534179688
8799,-772.034912109375
8899,-771.9349365234375
8999,-773.0916137695312
9099,-772.9026489257812
9199,-771.263427734375
9299,-772.505615234375
9399,-772.4511108398438
9499,-772.6861572265625
9599,-771.994873046875
9699,-772.1134033203125
9799,-772.8184814453125
9899,-772.623046875
9999,-772.667724609375
10099,-773.059326171875
10199,-773.8212890625
10299,-772.4321899414062
10399,-772.40185546875
10499,-772.2810668945312
10599,-771.459716796875
10699,-771.6993408203125
10799,-771.9960327148438
10899,-773.647705078125
10999,-772.4795532226562
11099,-772.4183959960938
11199,-771.827392578125
11299,-771.701171875
11399,-772.4766235351562
11499,-771.3154907226562
11599,-772.2793579101562
11699,-771.8837890625
11799,-771.9185180664062
11899,-772.5855712890625
11999,-773.3768920898438
12099,-772.023681640625
12199,-772.1006469726562
12299,-772.7835693359375
12399,-772.4855346679688
12499,-772.4894409179688
12599,-773.4554443359375
12699,-772.277099609375
12799,-773.4808959960938
12899,-773.1856079101562
12999,-773.3695068359375
13099,-772.7243041992188
13199,-772.880615234375
13299,-773.0701904296875
13399,-772.7821044921875
13499,-773.3692016601562
13599,-773.7112426757812
13699,-772.8370971679688
13799,-773.1498413085938
13899,-772.8471069335938
13999,-772.4891357421875
14099,-772.8982543945312
14199,-772.5370483398438
14299,-772.9329833984375
14399,-773.187255859375
14499,-772.564208984375
14599,-772.474609375
14699,-774.1919555664062
14799,-772.9549560546875
14899,-772.1008911132812
14999,-772.322998046875
15099,-772.8900146484375
15199,-772.4804077148438
15299,-772.953369140625
15399,-773.2047119140625
15499,-772.8397216796875
15599,-772.3873291015625
15699,-772.8014526367188
15799,-773.036865234375
15899,-773.1295776367188
15999,-772.6292724609375
16099,-772.5089721679688
16199,-772.8441162109375
16299,-773.3016357421875
16399,-772.3787841796875
16499,-773.2174682617188
16599,-771.8273315429688
16699,-773.57666015625
16799,-772.9956665039062
16899,-772.8257446289062
16999,-772.0986328125
17099,-772.7041015625
17199,-773.0946655273438
17299,-772.9077758789062
17399,-772.9716796875
17499,-773.9017944335938
17599,-773.3596801757812
17699,-772.5704956054688
17799,-772.8450927734375
17899,-773.3228149414062
17999,-772.9990844726562
