x,y
11899,-663.3289184570312
11999,-663.4910278320312
12099,-662.659423828125
12199,-663.4752197265625
12299,-663.1012573242188
12399,-663.2972412109375
12499,-663.0504760742188
12599,-662.9288940429688
12699,-663.3616333007812
12799,-663.4924926757812
12899,-663.3697509765625
12999,-663.1414184570312
13099,-663.3784790039062
13199,-662.48046875
13299,-662.9920654296875
13399,-663.0054931640625
13499,-662.977294921875
13599,-662.824951171875
13699,-663.4856567382812
13799,-663.3546142578125
13899,-663.4583129882812
13999,-662.771240234375
14099,-663.3539428710938
14199,-663.4735107421875
14299,-662.647216796875
14399,-663.4852905273438
14499,-663.33740234375
14599,-663.393310546875
14699,-663.1334228515625
14799,-663.5013427734375
14899,-663.44873046875
14999,-663.2054443359375
15099,-662.83203125
15199,-662.235595703125
15299,-663.010498046875
15399,-663.3150024414062
15499,-663.2603759765625
15599,-663.1943359375
15699,-663.419189453125
15799,-663.383056640625
15899,-663.4088134765625
15999,-663.4678955078125
16099,-663.488037109375
16199,-663.416748046875
16299,-663.5147094726562
16399,-662.5873413085938
16499,-663.2163696289062
16599,-663.4976196289062
16699,-663.2545776367188
16799,-663.4515991210938
16899,-662.1446533203125
16999,-663.4591064453125
17099,-663.2422485351562
17199,-663.4881591796875
17299,-663.5162353515625
17399,-663.4706420898438
17499,-663.1040649414062
17599,-663.4331665039062
17699,-663.2864990234375
17799,-663.2132568359375
17899,-662.6285400390625
17999,-662.9533081054688
18099,-663.2490844726562
18199,-663.5084838867188
18299,-663.4774780273438
18399,-663.4385986328125
18499,-663.18798828125
18599,-663.4490356445312
18699,-663.2433471679688
18799,-663.3482055664062
18899,-662.922119140625
18999,-663.2722778320312
19099,-663.4148559570312
19199,-663.3663940429688
19299,-663.0870971679688
19399,-663.459228515625
19499,-663.5042114257812
19599,-663.4151000976562
19699,-663.4754028320312
19799,-663.1868896484375
19899,-662.274169921875
19999,-663.5029907226562
20099,-662.8851928710938
20199,-663.4906616210938
20299,-663.304443359375
20399,-663.1168212890625
20499,-662.9896240234375
20599,-662.8453369140625
20699,-663.475341796875
20799,-663.2210693359375
20899,-663.3004150390625
20999,-663.3031005859375
21099,-663.4790649414062
21199,-663.3192138671875
21299,-663.50439453125
21399,-663.5233764648438
21499,-662.6058959960938
21599,-663.1737060546875
21699,-663.3760986328125
21799,-663.3441162109375
21899,-663.3587036132812
21999,-663.4540405273438
22099,-663.1957397460938
22199,-663.2572631835938
22299,-663.487548828125
22399,-663.435302734375
22499,-662.7813720703125
22599,-662.22802734375
22699,-663.4713745117188
22799,-663.3925170898438
22899,-662.9899291992188
22999,-662.9456787109375
23099,-663.3121948242188
23199,-663.4528198242188
23299,-662.8458862304688
23399,-663.1997680664062
23499,-663.42138671875
23599,-663.5087280273438
23699,-663.4671020507812
23799,-662.9058227539062
23899,-663.3897705078125
23999,-663.3215942382812
24099,-663.2443237304688
24199,-662.7949829101562
24299,-661.2815551757812
24399,-663.4703369140625
24499,-662.7319946289062
24599,-663.3861083984375
24699,-663.4285278320312
24799,-663.5029296875
24899,-663.48779296875
24999,-663.4698486328125
25099,-663.4832763671875
25199,-663.47412109375
25299,-662.0711669921875
25399,-663.1141967773438
25499,-662.36376953125
25599,-663.3530883789062
25699,-663.2353515625
25799,-663.1923828125
25899,-663.4798583984375
25999,-663.4950561523438
26099,-661.8248901367188
26199,-663.396240234375
26299,-663.3555908203125
26399,-663.4515991210938
26499,-663.5074462890625
26599,-663.3248901367188
26699,-663.4554443359375
26799,-663.0165405273438
26899,-663.5027465820312
26999,-662.8742065429688
27099,-662.6343383789062
27199,-663.3296508789062
27299,-663.1401977539062
27399,-663.4115600585938
27499,-663.47265625
27599,-663.2308349609375
27699,-663.3989868164062
27799,-663.3949584960938
27899,-663.3585815429688
27999,-663.508544921875
28099,-663.3983764648438
28199,-663.468505859375
28299,-663.022705078125
28399,-663.3508911132812
28499,-663.4191284179688
28599,-663.1881103515625
28699,-662.9208984375
28799,-663.494873046875
28899,-663.3182373046875
28999,-663.0111694335938
29099,-663.5054931640625
29199,-663.4612426757812
29299,-663.5086669921875
29399,-663.3433227539062
29499,-663.49658203125
29599,-663.4840087890625
29699,-662.892333984375
29799,-663.2789306640625
29899,-661.8323364257812
29999,-663.504150390625
